"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82"
"HALLMARK_NOTCH_SIGNALING","0.87523629489603","0.954719039825423","0.0491927521045191","-0.252510411839135","-0.724997971652298","23","Psenen","Wnt5a","Dtx4","St3gal6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PROTEIN_SECRETION","0.834205933682374","0.954719039825423","0.0477342401407188","-0.218070859578924","-0.812391136026261","85","Scamp3","Sod1","Copb1","Ap2s1","Ica1","Ap3s1","Gnas","Clta","Mon2","Cope","Rer1","Napa","Ocrl","Cln5","Igf2r","Tmed2","Yipf6","Rps6ka3","Bnip3","Rab9","Vamp3","Gosr2","Ergic3","Golga4","Rab14","Ap2b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS","0.825783972125436","0.954719039825423","0.0481183992657975","-0.221922219292363","-0.82006802827885","81","Ckb","Pkia","Ak1","Ocel1","Clu","App","Smtn","Ifrd1","Hspb8","Pde4dip","Crat","Bag1","Myom1","Actn2","Cnn3","Cryab","Ppp1r3c","Akt2","Ptp4a3","Rit1","Pdlim7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_SURFACE","0.783834586466165","0.954719039825423","0.0540088272801684","-0.275411946486545","-0.786790737332207","22","Sulf2","App","Cx3cl1","Tmem8b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEME_METABOLISM","0.518456375838926","0.682179441893324","0.0683110858318647","-0.248215996035047","-0.979419710786466","129","Gde1","Ypel5","Hagh","Narf","Mkrn1","Kdm7a","Osbp2","Aldh1l1","Prdx2","Btg2","Cast","Slc2a1","Slc25a38","Isca1","Xpo7","Tfrc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.504393673110721","0.681613071771244","0.072003313661988","-0.272261090692352","-0.967786326729527","66","Lap3","Stat3","Irf9","Ripk2","Serping1","Nup93","Mt1","Psmb2","Isoc1","Psmb10","Pfkp","Nmi","Pnp","Psma2","Peli1","Vamp8","Trafd1","Arid5b","Bpgm","Ncoa3","Txnip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_ALPHA_RESPONSE","0.444444444444444","0.617283950617284","0.080419996876154","-0.32485147971152","-1.01108714046992","32","Lap3","Irf9","Ripk2","Mvb12a","Parp9","Nmi","Ifitm2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","0.33106960950764","0.551782682512734","0.0928481214159878","-0.270562557839185","-1.06370852876301","123","Galk1","Dpysl4","Hdlbp","Hexa","Lxn","Aldoc","Aldoa","Cav1","Slc2a1","Mt1","Tpst2","Grhpr","Klhl24","Fam162a","Tpbg","Errfi1","Pgf","Atf3","Pdk1","Anxa2","Ndst2","Pfkp","Cp","Fos","Zfp36","Mif","Cited2","Siah2","Ppargc1a","Ppp1r3c","Gbe1","Hk1","Gpi1","Wsb1","Hs3st1","Ilvbl","Tpi1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_DNA_REPAIR","0.285234899328859","0.50934803451582","0.100990587455923","-0.27848926144227","-1.09352540013986","121","Polr2i","Nudt9","Rpa3","Rad52","Ak1","Cda","Hprt","Ercc1","Dguok","Mpc2","Alyref","Polb","Rnmt","Bivm","Umps","Polr2k","Gtf2h5","Polr2g","Ssrp1","Nme4","Srsf6","Edf1","Taf10","Gtf2a2","Impdh2","Snapc5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.280701754385965","0.50934803451582","0.104732821580651","-0.334957592409124","-1.11769075200972","45","Smad1","Junb","Smad7","Id3","Ube2d3","Nog","Furin","Bmpr2","Ppp1ca","Tgfbr1","Ctnnb1","Bmpr1a","Smurf2","Skil","Smad6","Id2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_BILE_ACID_METABOLISM","0.245283018867925","0.471698113207547","0.111918316325105","-0.329523969503034","-1.13299863239565","54","Sod1","Aldh9a1","Idh2","Slc35b2","Fads2","Pex6","Isoc1","Pex26","Slc23a2","Abca5","Pex12","Idh1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS","0.201048951048951","0.402777777777778","0.126875729929857","-0.308307845309237","-1.15532502830183","90","Il18","Pea15a","Sod1","Gpx1","Pak1","Clu","App","Pdgfrb","Smad7","Mgmt","Fez1","Btg2","Cav1","Bcl2l11","Dnaja1","Gstm1","Rela","Sat1","Cdc25b","Atf3","Casp9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.125","0.297619047619048","0.172324344900946","-0.444629996245581","-1.31160040189381","26","Stat3","Irf9","Cd9","Hax1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
