"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Snx21",0.0469472693807286,-0.0480898627167255,0.043,0.101,0.149973505507906
"Bsdc1",0.0469559904149752,-0.0503673497778983,0.093,0.17,0.149973505507906
"Nop2",0.0470454439148017,-0.0328466408606159,0.071,0.142,0.150207291559353
"Got1",0.0470654017634407,-0.0392666502935513,0.121,0.208,0.150219106146526
"Mtln",0.0471700926038779,-0.0291822062455535,0.093,0.174,0.150478480812912
"Shd",0.0471876101316715,-0.0669356205447844,0.114,0.194,0.150478480812912
"Zfp655",0.0471955235276861,-0.0369149439189404,0.086,0.16,0.150478480812912
"Psph",0.0473427827276886,-0.0296668278382416,0.107,0.194,0.150888530210413
"4933408B17Rik",0.0473708863466506,0.107008140968766,0.129,0.073,0.150888530210413
"Ago1",0.0473731197121655,-0.0913605418974012,0.329,0.462,0.150888530210413
"Dmwd",0.0474475600496347,-0.0411464467925251,0.2,0.312,0.151073554396494
"Lemd2",0.04747128733127,-0.0522370076854486,0.15,0.243,0.151097035804662
"Bckdha",0.0475274591816196,-0.0101934397552728,0.136,0.233,0.151182721566317
"Fam111a",0.0475443955952837,-0.00946103176461954,0.129,0.229,0.151182721566317
"4831440D22Rik",0.0475472931679349,0.11600491406889,0.114,0.062,0.151182721566317
"4933434E20Rik",0.0476786466616625,-0.0652831763488467,0.229,0.344,0.15154822674708
"Atxn7l2",0.0477012721551832,-0.0469078658200569,0.064,0.128,0.151568003684282
"Dram2",0.0477466362065575,-0.0523666945133624,0.136,0.226,0.151659992625848
"Fam193b",0.0478406253229106,-0.0720068293644311,0.279,0.413,0.151906315458314
"Pomt1",0.0478914357231411,-0.0789172100622704,0.1,0.174,0.151926379417195
"Atm",0.0478948661522031,0.181589520685787,0.4,0.354,0.151926379417195
"Pdcd6ip",0.0479108789606068,-0.0388553098835752,0.136,0.229,0.151926379417195
"Ppp1r16a",0.0479127131625224,-0.0443012679414653,0.079,0.149,0.151926379417195
"Pank3",0.0479508803080875,-0.0425896198759901,0.236,0.368,0.151986767772232
"Twistnb",0.0479646552839643,-0.0485484263161542,0.221,0.333,0.151986767772232
"Rce1",0.0480429998773604,-0.0621364855402364,0.1,0.174,0.152182831287902
"Usp22",0.0480672227832574,-0.104602082639672,0.386,0.528,0.152195781127593
"Cars",0.048080030856217,-0.0238412420569004,0.093,0.174,0.152195781127593
"Kdelr2",0.0481380933287414,-0.0555414158733847,0.193,0.295,0.152310928064074
"Jtb",0.0481493745535886,-0.0167359379803119,0.179,0.288,0.152310928064074
"2010320M18Rik",0.0482259311432802,-0.02926818178082,0.064,0.128,0.152414043898646
"Gabpb1",0.0482379103955168,-0.0612632226502212,0.243,0.368,0.152414043898646
"2900097C17Rik",0.0482420305364659,-0.0704011868223087,0.321,0.486,0.152414043898646
"Men1",0.0482479522081754,-0.0627089160542357,0.107,0.184,0.152414043898646
"Ikzf4",0.0483529093055998,-0.0385927973979005,0.057,0.122,0.152693397807157
"Ckap2l",0.048373576677271,-0.118587997665024,0.4,0.549,0.152706473692513
"Tmem184b",0.04841051082983,-0.0703031897423286,0.093,0.167,0.152745943108896
"Dlg1",0.0484285785401347,-0.102771036134083,0.429,0.594,0.152745943108896
"Ranbp2",0.048435672436046,-0.0921662442724999,0.386,0.538,0.152745943108896
"Skida1",0.0484575554824559,-0.0313330357415889,0.2,0.319,0.152762815645818
"Lurap1l",0.0485003166932204,-0.0425586288283771,0.05,0.111,0.152845472798553
"Unc45a",0.0485193276038182,-0.037788010894222,0.1,0.181,0.152853251639714
"Wwp1",0.0485490739933351,-0.0613831947431077,0.157,0.253,0.152894834253039
"Degs1",0.0486256374873249,-0.0430711241343389,0.071,0.139,0.153083778665377
"Cir1",0.0486873615618352,-0.0599043736439149,0.236,0.354,0.153225892653732
"Zfp74",0.0487327644743628,-0.0476220564309834,0.079,0.149,0.153264378401332
"2210016F16Rik",0.0487327644743628,-0.0392610758363904,0.079,0.149,0.153264378401332
"Dmrta2",0.0488071863604469,-0.0693585406069548,0.243,0.368,0.153418748162272
"Gmds",0.0488150562334501,-0.0874282677414422,0.221,0.326,0.153418748162272
