"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82","Leading Edge 83","Leading Edge 84","Leading Edge 85","Leading Edge 86","Leading Edge 87","Leading Edge 88","Leading Edge 89","Leading Edge 90","Leading Edge 91","Leading Edge 92","Leading Edge 93","Leading Edge 94","Leading Edge 95","Leading Edge 96","Leading Edge 97","Leading Edge 98","Leading Edge 99","Leading Edge 100","Leading Edge 101","Leading Edge 102","Leading Edge 103","Leading Edge 104","Leading Edge 105","Leading Edge 106","Leading Edge 107","Leading Edge 108","Leading Edge 109","Leading Edge 110","Leading Edge 111","Leading Edge 112","Leading Edge 113"
"HALLMARK_APICAL_SURFACE","0.529780564263323","0.854484781069876","0.0450442767152794","-0.457023628352727","-0.991284808185733","17","Gstm5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.490963855421687","0.833333333333333","0.0466948041282054","-0.414364947164298","-1.0155313608888","86","Bag1","Fabp5","Mdk","Fkbp4","Ckb","Etfb","Ppif","Nxt1","Tpbg","Idh2","Cdc20","Amfr","Arl3","Fkbp5","Dynlt3","Ascl1","Cox6c","Mocs2","Fdft1","Plk4","Elovl5","Sgk1","Olfm1","Slc29a1","Chpt1","Rnaseh2a","Hprt","Slc1a4","Tob1","Slc16a1","Blvrb","Cd9","Jak2","Dlg5","Cdc6","Id2","Gins2","Sox3","Mest","Tspan13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANDROGEN_RESPONSE","0.460060667340748","0.821536905965622","0.0499913914024592","-0.423050935256501","-1.02108879410152","66","Myl12a","Dbi","Idi1","Srp19","Adrm1","Akt1","Lman1","Fads1","Gsr","Rab4a","Fkbp5","Sat1","Pgm3","Elovl5","Ube2i","Sgk1","Ccnd3","H1f0","Xrcc5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COAGULATION","0.457055214723926","0.821536905965622","0.0508054139066364","-0.448814979714905","-1.03459548869704","28","Crip2","Rac1","Arf4","Lta4h","Csrp1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.429009193054137","0.821536905965622","0.0536769600638126","-0.450538711459734","-1.03856604079523","27","Csnk1e","Kat2a","Dvl2","Trp53","Peg12","Axin2","Ctnnb1","Ccnd2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_XENOBIOTIC_METABOLISM","0.405650857719475","0.811301715438951","0.0557104226766671","-0.4292229887173","-1.04408946835735","77","Kars","Cyb5a","Shmt2","Dhrs1","Idh1","Ddah2","Ptges3","Pmm1","Acp1","Pink1","Tmem97","Gsr","Gsto1","Por","Gart","Aco2","Aldh2","Etfdh","Adh5","Elovl5","Pgd","Acp2","Arpp19","Cat","Gabarapl1","Hprt","Cndp2","Pts","Cbr1","Sar1b","Blvrb","Ndrg2","Ddt","Pgrmc1","Fbln1","Bphl","Slc35d1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PROTEIN_SECRETION","0.379032258064516","0.789650537634409","0.0588438169595807","-0.430755812015968","-1.05182948195114","81","Arf1","Gnas","Sod1","Ap2m1","Cope","Napa","Anp32e","Sec22b","Clta","Cltc","Ap2s1","Stam","Rab5a","Tsg101","Lman1","Bnip3","Ap3s1","Tmx1","Copb2","Stx12","Tmed2","Rab9","Atp6v1h","Atp7a","Arcn1","Ykt6","Gosr2","Copb1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS","0.375757575757576","0.789650537634409","0.0593487680335629","-0.432794707194172","-1.05215301181982","76","Diablo","Bcl10","Sod1","Gpx4","Bcl2l11","Rela","Ebp","Mcl1","Sod2","Hmgb2","Gpx1","Gsr","Vdac2","Bnip3l","Sat1","Fez1","Psen1","Ctnnb1","Bcap31","Ppp3r1","F2r","Rhob","Casp3","H1f0","Ccnd2","Dap3","Plat","Btg2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","0.374874371859297","0.789650537634409","0.059221919380382","-0.425718687511687","-1.04833203601964","96","Mif","Gapdh","Tpi1","Pgk1","Gpi1","Pim1","Ldha","Hspa5","Tpbg","Ugp2","Pfkl","Cited2","Eno1","Slc25a1","Prdx5","Hexa","Fam162a","Gpc1","Glrx","Bnip3l","Ccng2","Xpnpep1","Gbe1","Atp7a","Chst2","Galk1","Cavin3","Pfkfb3","Ncan","Cdkn1c","Kdm3a","Ids","Plin2","Dpysl4","Sap30","Irs2","Klf7","Dusp1","Csrp2","Noct","Egfr","B3galt6","Pnrc1","Ankzf1","Pgm2","Btg1","Nr3c1","Klhl24","Cdkn1b","Ddit4","Jmjd6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_NOTCH_SIGNALING","0.310699588477366","0.73976092494611","0.0694481442003175","-0.507589206969845","-1.11849183759584","19","Rbx1","Psenen","Kat2a","Aph1a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
