"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.737270875763748","0.863248266427662","0.060640400949416","0.319046842665366","0.79124403569844","18","Ptch1","Jag2","Numb","Ccnd2","Wnt5b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.781431334622824","0.876288659793814","0.0554793308704233","0.250117294143105","0.796443758544512","76","Mapk14","Nf2","Vcl","Insig1","Mpzl1","Pik3cb","Ctnnd1","Cntn1","Cdk8","Cadm3","Nectin1","Sgce","Ptk2","Thbs3","Fscn1","Gnai2","Cd276","Vcan","Adam23","Myl12b","Akt2","Myh9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_XENOBIOTIC_METABOLISM","0.943074003795066","0.983640081799591","0.0459538081039063","0.213358971153962","0.629783982046408","43","Slc6a6","Gabarapl1","Ddah2","Abhd6","Elovl5","Hes6","Tpst1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_SURFACE","0.967935871743487","0.983640081799591","0.0472587336673259","0.227729773219287","0.495478333871273","10","Adam10","Scube1","App","Flot2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_FATTY_ACID_METABOLISM","0.983640081799591","0.983640081799591","0.0474483193656297","-0.189815959131927","-0.589121352950326","52","Bmpr1b","Ccdc58","Adipor2","Dhcr24","Idh3b","Fasn","Erp29","Auh","Dld","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_NOTCH_SIGNALING","0.961013645224172","0.983640081799591","0.0463227785794633","-0.239488181427231","-0.543123583140513","11","Cul1","Aph1a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_DN","0.806185567010309","0.876288659793814","0.0570059526582387","-0.241062225217286","-0.779633557944878","76","Nrp1","Irs1","Arhgef9","Atp2c1","Prkar2b","Atrn","Phf3","Col11a1","Atp2b1","Celf2","Dlg1","Igf1r","Prkce","Kalrn","Abcc1","Zmiz1","Fyn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_BILE_ACID_METABOLISM","0.799212598425197","0.876288659793814","0.0552495663125249","-0.275290996664239","-0.764135772412965","27","Gclm","Cyp7b1","Lonp2","Nedd4","Lipe","Dhcr24","Hsd17b4","Prdx5","Gnpat","Pex19","Pnpla8","Idh2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL2_STAT5_SIGNALING","0.742393509127789","0.863248266427662","0.0601186142531851","-0.265278514539967","-0.821338875226974","51","Nrp1","Huwe1","Prnp","Cd81","Aplp1","Tiam1","Map6","Igf1r","Mapkapk2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ADIPOGENESIS","0.640918580375783","0.82169048766126","0.0686325631836726","-0.261663792432722","-0.865312428991453","90","Cmpk1","Cyc1","Tkt","Gphn","Dram2","Ndufa5","Adipor2","Adcy6","Lipe","Ndufb7","Aifm1","Dld","Reep5","Bcl2l13","Uqcrc1","Immt","Ubc","Pim3","Apoe","Idh3g","Rab34","Abcb8","Gpx4","Taldo1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
