"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.70110745012443e-08,-0.67157237774068,0.064,0.185,0.00248630254027267,"13","Rapgef5"
8.63333386029428e-08,-0.854953618638292,0.089,0.211,0.00278727183679601,"13","Tmem132b"
8.97103256349654e-08,-0.494213986196992,0.651,0.667,0.00289629786312486,"13","Rfx3"
9.04916416044707e-08,-0.515594248665255,0.651,0.655,0.00292152264920034,"13","Itsn1"
9.09848684565704e-08,-0.48975616073992,0.747,0.732,0.00293744647812037,"13","Rps3"
9.18978023365199e-08,-0.476582762451507,0.719,0.697,0.00296692054843455,"13","Rps27"
9.55423001784753e-08,-0.445868924858567,0.676,0.677,0.00308458316126207,"13","Ptk2"
1.03990736362496e-07,-0.565105077986363,0.164,0.287,0.00335734092346319,"13","Fam210b"
1.05385771383981e-07,-0.669798264484327,0.224,0.338,0.00340237962913182,"13","Pik3r1"
1.13701658787951e-07,-0.495824190084892,0.822,0.775,0.003670858053969,"13","Tcf12"
1.18817666591091e-07,-0.518039413285377,0.53,0.544,0.00383602836589336,"13","Ube2i"
1.26297175209023e-07,0.262709302539616,0.523,0.351,0.0040775043016233,"13","Map1lc3a"
1.32864006891648e-07,-0.518166344223706,0.822,0.755,0.00428951446249687,"13","Rps12"
1.35339221096559e-07,-0.450680165355152,0.616,0.622,0.00436942675310242,"13","Khdrbs1"
1.35387156088006e-07,-0.535083239680231,0.189,0.313,0.00437097433430126,"13","Dgkh"
1.41543372202333e-07,-0.441812951813762,0.737,0.744,0.00456972777155234,"13","Foxn3"
1.44941572709898e-07,-0.604780222887342,0.085,0.202,0.00467943867493905,"13","Sox2"
1.50644572291592e-07,-0.345167470982513,0.046,0.16,0.00486356001643405,"13","Fzd2"
1.51431170252621e-07,-0.397106222168435,0.733,0.715,0.00488895533160588,"13","Pebp1"
1.5781121990415e-07,-0.723035315468431,0.196,0.317,0.00509493523460549,"13","Gm16351"
1.68410587922901e-07,-0.549506110146876,0.384,0.469,0.00543713583109087,"13","Rcc2"
1.8155740141541e-07,-0.492499038850076,0.06,0.176,0.00586158070469653,"13","Adamts2"
2.00482471905653e-07,-0.576356555380081,0.712,0.683,0.006472576605474,"13","Stox2"
2.03355734435527e-07,-0.492806112049554,0.423,0.498,0.00656533988625099,"13","Snrpd1"
2.04495329487373e-07,-0.481881690807336,0.053,0.165,0.00660213171249983,"13","Lypd6"
2.11564635160968e-07,-0.488565424470745,0.153,0.275,0.00683036424617185,"13","Nos1ap"
2.15520328047148e-07,-0.466143135995628,0.146,0.268,0.00695807379100217,"13","Sipa1l2"
2.16660009641295e-07,-0.375355795627663,0.89,0.578,0.00699486841126919,"13","Ntm"
2.2096707782535e-07,-0.462326585519036,0.673,0.664,0.00713392210759141,"13","Tnrc18"
2.21260803777916e-07,-0.422199687041806,0.762,0.723,0.00714340504997,"13","Dip2b"
2.27274498719278e-07,-0.685707948835634,0.1,0.217,0.00733755719115189,"13","Ltbp1"
2.29108403695451e-07,-0.349444908176041,0.046,0.154,0.00739676481330764,"13","Gm36988"
2.58289859891731e-07,-0.642122790051668,0.149,0.266,0.00833888812660452,"13","Celsr1"
2.64071322809835e-07,-0.542076193428054,0.456,0.504,0.00852554265691552,"13","Sh3bgrl"
2.68998598491776e-07,-0.536012772179807,0.598,0.611,0.00868461975230698,"13","Rpl10"
2.74071575955789e-07,-0.570145486606493,0.071,0.185,0.00884840082973266,"13","Dpyd"
2.86786271903374e-07,0.290982198419653,0.448,0.308,0.00925889478840041,"13","Tubb4b"
3.04829768289046e-07,0.273046595878084,1,0.996,0.00984142906921186,"13","mt-Nd1"
3.14112250323324e-07,-0.664525496546453,0.078,0.192,0.0101411140016885,"13","Shroom3"
3.25149341789035e-07,-0.526073969680154,0.157,0.275,0.010497446499659,"13","Ctnna1"
3.43076569770255e-07,-0.596565402831344,0.381,0.469,0.0110762270550327,"13","Lmo4"
3.50937811770514e-07,-0.526066840338674,0.651,0.654,0.011330027253011,"13","Arl15"
4.21734511249848e-07,-0.515163167758819,0.566,0.596,0.0136156986957013,"13","Ddah2"
4.45831848877169e-07,-0.548854816863878,0.712,0.677,0.0143936812409994,"13","Cbfa2t2"
4.58896050713162e-07,-0.440428356372508,0.758,0.712,0.0148154589972744,"13","Hsp90aa1"
4.69572507744826e-07,-0.532444070248368,0.512,0.551,0.0151601484125417,"13","Btf3"
4.70174063560753e-07,-0.518813224623061,0.751,0.703,0.0151795696420589,"13","Rps18"
4.76942952708093e-07,-0.370136253994224,0.804,0.778,0.0153981032281808,"13","Spag9"
4.99327179207646e-07,-0.610447701076512,0.196,0.306,0.0161207779807189,"13","Kcnn3"
5.18468907311603e-07,-0.551600741722672,0.025,0.121,0.0167387686725551,"13","Veph1"
5.31151204402789e-07,-0.553643800542018,0.637,0.626,0.017148216634144,"13","Naca"
5.74088311336733e-07,-0.669829003614228,0.149,0.262,0.0185344411315064,"13","Ptpro"
5.75177602533237e-07,-0.681833348415964,0.135,0.252,0.0185696088977856,"13","Tmeff2"
5.88976148816901e-07,-0.648063575246947,0.082,0.192,0.0190150949645537,"13","Mfap4"
6.01488368318211e-07,-0.467188560664691,0.712,0.673,0.0194190519711535,"13","Dynll1"
6.32337494689658e-07,-0.603200031255897,0.352,0.435,0.0204150160160556,"13","Zswim5"
6.39726423908983e-07,-0.565307864036491,0.071,0.18,0.0206535675959015,"13","Myo10"
6.49347404923367e-07,-0.588419929646663,0.128,0.244,0.0209641809679509,"13","Plpp3"
6.78448032166746e-07,-0.485966364586635,0.555,0.577,0.0219036947185034,"13","Ilf2"
6.97657085972451e-07,-0.398590980284921,0.715,0.716,0.0225238590206206,"13","Cox4i1"
7.09881761021245e-07,-0.515890468667733,0.53,0.563,0.0229185326545709,"13","Rps17"
7.48467165893646e-07,-0.626881643532297,0.559,0.567,0.0241642624508764,"13","Pou2f1"
8.00688858985654e-07,-0.386818010042386,0.064,0.171,0.0258502398123518,"13","Zfp618"
8.79960447805898e-07,-0.471058575235928,0.655,0.651,0.0284095230574134,"13","Cfl1"
9.04960291884154e-07,-0.759940938747746,0.416,0.478,0.0292166430234799,"13","Klhl29"
9.60745534581966e-07,-0.542948600681305,0.47,0.521,0.0310176695839788,"13","Kdm2b"
9.81625296248078e-07,-0.34814342894812,0.039,0.137,0.0316917726893692,"13","Ptpn13"
9.99295119945101e-07,-0.549719367010822,0.377,0.456,0.0322622429474276,"13","Hist3h2ba"
1.03594614451192e-06,-0.614280221012875,0.42,0.48,0.0334455212755675,"13","Srgap1"
1.06203448800836e-06,-0.585151918983257,0.107,0.215,0.0342877834453498,"13","Smc4"
1.12114342280998e-06,-0.543558496040313,0.651,0.647,0.0361961154054203,"13","Rpl23a"
1.12735264519198e-06,-0.506712076084018,0.52,0.548,0.0363965801500232,"13","Nrep"
1.14552699827782e-06,-0.50039386380619,0.032,0.128,0.0369833391393994,"13","4930509J09Rik"
1.16347742628253e-06,-0.402680218471796,0.117,0.23,0.0375628687075315,"13","Trib2"
1.25608729286245e-06,-0.540292715448364,0.256,0.352,0.0405527782500641,"13","Nuak1"
1.26438251133748e-06,-0.600660360708223,0.075,0.179,0.0408205893785305,"13","Lhfp"
1.28335817674355e-06,-0.56130621400567,0.655,0.645,0.0414332187361654,"13","Rpl29"
1.31293446814487e-06,-0.290882041865076,0.95,0.903,0.0423880893040572,"13","Rbm39"
1.33513326552525e-06,-0.544191151346821,0.036,0.132,0.0431047774774828,"13","Cntnap5a"
1.39772504872473e-06,-0.469102467055482,0.231,0.334,0.045125553198078,"13","Txnrd1"
1.41637977071195e-06,-0.403999118932112,0.669,0.652,0.0457278208974352,"13","Hnrnpr"
1.43425333609236e-06,-0.445974511585683,0.064,0.165,0.0463048689557418,"13","Gsap"
1.44457331462458e-06,-0.387414103020343,0.071,0.177,0.0466380494626544,"13","Prag1"
1.52588478735274e-06,-0.505439484520416,0.135,0.246,0.0492631903596831,"13","Sfrp1"
1.5313668611616e-06,-0.523547960130651,0.523,0.572,0.0494401791126022,"13","Ran"
1.54757425915279e-06,-0.540961519638405,0.11,0.218,0.0499634349567478,"13","Chrna7"
1.56375959647471e-06,-0.298411428931067,0.036,0.129,0.0504859785721859,"13","Slitrk1"
1.6005165232156e-06,-0.36759208028726,0.068,0.172,0.0516726759520155,"13","Acot1"
1.61831069734174e-06,-0.664174019122719,0.053,0.152,0.052247160863678,"13","Etl4"
1.64215705233448e-06,-0.549889058694691,0.477,0.525,0.0530170404346185,"13","Rpl35"
1.66586742332425e-06,-0.741737796286627,0.285,0.371,0.0537825297620234,"13","Hmgn2"
1.6989094013642e-06,-0.480866645339513,0.068,0.171,0.0548492900230432,"13","Abca1"
1.71041875738985e-06,-0.356429065086021,0.05,0.149,0.0552208695823313,"13","Nos1"
1.76132476073482e-06,-0.505743680117879,0.278,0.378,0.0568643699003236,"13","Arnt2"
1.87152859636373e-06,-0.531467380034657,0.488,0.527,0.0604223007336029,"13","Rps6"
1.89032822073276e-06,-0.533316256274063,0.331,0.419,0.0610292466063571,"13","Vps37b"
1.92077492246797e-06,-0.478924492561836,0.452,0.497,0.0620122183718785,"13","Csnk1e"
1.9262261167232e-06,-0.490267170935309,0.598,0.61,0.0621882101784085,"13","Rpl14"
2.01490521061706e-06,-0.525928497313077,0.064,0.165,0.0650512147247718,"13","D030068K23Rik"
2.04296917031903e-06,-0.51028614369659,0.431,0.498,0.06595725966375,"13","Atp11c"
2.39262244622165e-06,-0.483862842563076,0.203,0.308,0.0772458156762658,"13","Stim2"
2.39539815696258e-06,-0.725521301340253,0.331,0.418,0.0773354294975369,"13","Hdac9"
2.62036173394649e-06,-0.478463231918708,0.221,0.327,0.0845983785804626,"13","Cemip2"
2.64335733855215e-06,-0.434495039611782,0.089,0.192,0.0853407916751562,"13","Gm15594"
2.68808937478444e-06,-0.428586247683769,0.641,0.636,0.0867849654649158,"13","Serbp1"
2.70545604780007e-06,-0.850896479303103,0.093,0.193,0.0873456485032252,"13","Rgs20"
2.83132788471997e-06,-0.628166452907819,0.117,0.222,0.0914094207581843,"13","Neurog2"
2.85909046537687e-06,-0.378907354882219,0.114,0.222,0.0923057356746921,"13","St8sia1"
2.97198150416392e-06,-0.42610648726617,0.235,0.344,0.0959504228619322,"13","Mex3b"
2.9909173339737e-06,-0.71193855858707,0.47,0.516,0.0965617661273409,"13","Jun"
3.07701557919928e-06,-0.521752534291335,0.185,0.291,0.0993414479744488,"13","Gm14964"
3.162813154086e-06,-0.484053029906368,0.388,0.46,0.102111422679666,"13","Elf2"
3.22868020680821e-06,-0.498437276252049,0.413,0.475,0.104237940476803,"13","Rhobtb3"
3.36663899542096e-06,-0.952688074891836,0.249,0.337,0.108691939967166,"13","Vim"
3.45706304204279e-06,-0.438228182612812,0.52,0.566,0.111611280312352,"13","Mif"
3.50005282920162e-06,-0.319170006528438,0.046,0.141,0.112999205590774,"13","Nes"
3.59070391186867e-06,-0.253190170999312,0.979,0.939,0.11592587579468,"13","Ddx5"
3.81193241147045e-06,-0.407317002886168,0.135,0.242,0.123068237904323,"13","Emx1"
4.4300168152817e-06,-0.993166443863385,0.171,0.268,0.14302309288137,"13","Sgcd"
4.63019264051624e-06,-0.34493210382402,0.025,0.11,0.149485769399067,"13","Meis1"
4.90695384007617e-06,-0.303197536545539,0.875,0.821,0.158421004726859,"13","Gsk3b"
5.14500459733262e-06,-0.50400090184246,0.609,0.606,0.166106473424884,"13","Rps25"
5.17110976574584e-06,-0.308118508581714,0.028,0.113,0.166949278787105,"13","Antxr2"
5.2190993679344e-06,-0.2539076919111,0.043,0.134,0.168498623093762,"13","Amotl2"
5.36809069981279e-06,-0.49893193840237,0.395,0.464,0.173308808243456,"13","Myo18a"
5.49772429866021e-06,-0.360310697570363,0.075,0.172,0.177494028982245,"13","Paqr8"
5.55870053085303e-06,-0.28303480782112,0.036,0.123,0.17946264663859,"13","Prom1"
5.69912244901811e-06,-1.03709705283542,0.167,0.268,0.18399616826655,"13","Kirrel3"
5.77547156355145e-06,-0.544312012685862,0.391,0.445,0.186461099429258,"13","Rpl4"
5.93020152764188e-06,-0.478460221470189,0.509,0.545,0.191456556319918,"13","Lcorl"
5.94423986044922e-06,0.322069728312615,0.769,0.589,0.191909783894603,"13","Atp6v0c"
6.00580602722068e-06,-0.368643473468264,0.028,0.112,0.19389744758882,"13","Stxbp6"
6.0678814580047e-06,-0.524388524217712,0.228,0.331,0.195901552871682,"13","Slc16a2"
6.07762019705929e-06,-0.545326726670047,0.349,0.421,0.196215968062059,"13","Pgap1"
6.11372884190835e-06,-0.512394367359392,0.281,0.371,0.197381735661011,"13","Rnf182"
6.13821243939592e-06,-0.478641531925572,0.495,0.529,0.198172188605897,"13","Uqcrh"
6.48562939264427e-06,0.698375007801141,0.961,0.911,0.20938854494152,"13","Nnat"
6.80969733035893e-06,-0.471453432048097,0.313,0.397,0.219851078310638,"13","Zfp706"
7.02696909295092e-06,-0.303882725982465,0.06,0.153,0.226865697165921,"13","Gm35040"
7.03518804481133e-06,-0.511274430072482,0.683,0.649,0.227131046026734,"13","Rpl10a"
7.20907189954142e-06,-0.388535610665893,0.06,0.152,0.232744886276695,"13","Lmo7"
7.277577311522e-06,-0.415719798714024,0.438,0.487,0.234956583502488,"13","Peli1"
7.28068303139937e-06,-0.502212165636271,0.48,0.515,0.235056851668729,"13","Atp5g2"
7.60205553649222e-06,-0.346661792190036,0.06,0.153,0.245432362995651,"13","Abcd2"
7.60404134439957e-06,-0.491725495156492,0.445,0.49,0.24549647480394,"13","Cox7a2"
7.78169607727338e-06,-0.37365533099151,0.046,0.135,0.251232057854771,"13","Siah3"
7.85458567519219e-06,-0.330164005577392,0.801,0.723,0.25358529852358,"13","Pum1"
7.88429194663721e-06,-0.455255162165731,0.121,0.218,0.254544365497182,"13","Srrm4os"
8.05723342852142e-06,-0.688187542406698,0.057,0.148,0.260127781239814,"13","Gm30382"
8.35902433614557e-06,-0.516180091297743,0.253,0.347,0.26987110069246,"13","A830082K12Rik"
8.45662085496972e-06,-0.490324147202817,0.52,0.527,0.273022004302697,"13","Pkm"
9.43577776592389e-06,-0.378819146352531,0.06,0.15,0.304634085172853,"13","Gipr"
9.64259527584573e-06,-0.925213216879488,0.157,0.252,0.311311188480679,"13","Rgs6"
9.67975267017307e-06,-0.361851988778725,0.075,0.169,0.312510814956538,"13","Rgs3"
9.71629591556893e-06,-0.354988183790818,0.847,0.782,0.313690613634143,"13","Akap9"
9.78388169957641e-06,-0.51269422802566,0.135,0.231,0.315872620670824,"13","Neurod1"
9.82098123303642e-06,-0.323958602766651,0.779,0.738,0.317070379108581,"13","Ywhae"
1.00168211645428e-05,0.271616195261131,0.808,0.623,0.323393071297263,"13","Stmn3"
1.01906752487268e-05,-0.419351177497558,0.811,0.747,0.329005950405145,"13","Rpl9"
1.04400109900119e-05,-0.457506843862465,0.747,0.699,0.337055754812535,"13","Rps13"
1.04785527946482e-05,-0.416646449487181,0.655,0.656,0.338300076975219,"13","Nav1"
1.16087673503045e-05,-0.440249822107239,0.189,0.291,0.37478905390458,"13","Arl4c"
1.17159580340896e-05,-0.431056374269448,0.641,0.61,0.378249705130583,"13","Dpysl5"
1.23418058181772e-05,-1.37513955211311,0.117,0.212,0.398455200839852,"13","Tnc"
1.23550959708488e-05,-0.491555581350146,0.505,0.515,0.398884273418853,"13","Snrpe"
1.28455145835762e-05,-0.523476424062358,0.544,0.56,0.414717438330759,"13","Rpl12"
1.29471119989462e-05,-0.535676953302964,0.306,0.382,0.417997510885978,"13","Cep85l"
1.33771126818039e-05,-0.376019637122583,0.078,0.172,0.431880082932038,"13","Hist1h2ap"
1.36897631409621e-05,-0.457438958082361,0.566,0.563,0.441974003005962,"13","Tmeff1"
1.44686314328582e-05,-0.431960278594722,0.285,0.368,0.467119765809828,"13","Ppp1cc"
1.45347133170845e-05,-0.441890133173668,0.616,0.598,0.469253219442072,"13","Rtf1"
1.54743611319449e-05,-0.465377482776946,0.438,0.501,0.499589749144841,"13","Smarcad1"
1.57025295965937e-05,-0.648410254567733,0.153,0.249,0.506956168026029,"13","Airn"
1.62791396725909e-05,-0.458592621458995,0.47,0.513,0.525572024329598,"13","Asap2"
1.63390728510673e-05,-0.466872832759018,0.31,0.386,0.527506966996708,"13","Ppdpf"
1.64007230073795e-05,-0.507242658300466,0.331,0.395,0.529497342293248,"13","Qser1"
1.64345852240173e-05,-0.599837101592038,0.032,0.112,0.530590583957398,"13","Sox1ot"
1.65071548288284e-05,-0.476362085089672,0.164,0.264,0.532933493648724,"13","Gria3"
1.73594827473164e-05,-0.386499812820386,0.103,0.198,0.560450900497109,"13","Disp3"
1.73846636525432e-05,-0.988711619264255,0.114,0.208,0.561263866022357,"13","Top2a"
1.74116349019821e-05,-0.261434526913096,0.036,0.118,0.562134632810492,"13","Fam181b"
1.74736047569076e-05,-0.66865678799993,0.274,0.36,0.564135329576762,"13","Hist1h2bc"
1.76038698962892e-05,-0.720898253384891,0.619,0.593,0.568340939601698,"13","Tmem108"
1.84510677869723e-05,-0.412598933201399,0.157,0.253,0.595692723502402,"13","Phf21b"
1.8695781059029e-05,-0.429769291822103,0.249,0.34,0.603593291490753,"13","Nfyb"
1.90992533835958e-05,-0.437641814845631,0.448,0.485,0.616619395489389,"13","Map1lc3b"
1.91997727480859e-05,-0.381584851447365,0.089,0.182,0.619864663171952,"13","Itga6"
1.92152295474178e-05,-0.631698910454795,0.103,0.194,0.620363685938383,"13","Fam135b"
2.01191878297708e-05,-0.521305805478168,0.434,0.469,0.649547979084149,"13","Add2"
2.03888413932012e-05,-0.596073020687873,0.043,0.123,0.658253744379499,"13","Plce1"
2.04459390350761e-05,-0.415597264859793,0.584,0.59,0.660097141747431,"13","Dlgap4"
2.24391810611169e-05,-0.442449441066864,0.601,0.573,0.724448960558158,"13","Cbx1"
2.485640320806e-05,-0.282787212032514,0.865,0.845,0.802488977572218,"13","Srrm2"
2.61288201889252e-05,-0.273150907442797,0.036,0.112,0.843568959799449,"13","Gm26604"
2.62180033447436e-05,-0.464467448689804,0.69,0.629,0.846448237985049,"13","Eef2"
2.66371026900224e-05,-0.290135081597552,0.064,0.15,0.859978860347375,"13","Pdlim4"
2.67871793522463e-05,-0.388191185025079,0.139,0.232,0.864824085387272,"13","Fam13c"
2.91415335559937e-05,-0.372218666618449,0.626,0.634,0.940834410855257,"13","Atxn7l3b"
3.03856610300513e-05,-0.362619829872547,0.114,0.206,0.981001066355208,"13","Nt5dc2"
3.10746098687951e-05,-0.376666307235659,0.185,0.284,1,"13","Gnai1"
3.14972204509412e-05,-0.440132509199284,0.231,0.321,1,"13","E330009J07Rik"
3.15584550693083e-05,-0.426060027160927,0.577,0.564,1,"13","Fez1"
